unit,category,use,translation,item,subcategory,value,date,source
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1681.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1682.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1683.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1684.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1685.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1686.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1687.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1688.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1640.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1641.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1642.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1643.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1644.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",850.0,1645.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1646.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1647.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1648.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1649.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1650.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1651.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1652.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1653.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1654.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1655.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1656.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1657.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1658.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1659.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1660.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1661.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1662.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1663.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1664.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1665.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1666.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1667.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1668.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1669.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1670.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1671.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1672.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1673.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1674.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1675.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1676.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1677.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1678.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1679.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1680.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1681.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1682.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1683.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1684.0,
